SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.05907353896463295,0.5199265569425402,0.14047694206237793,0.6697630072317734
200,0.07892189900552163,0.4368977096883891,0.32006144523620605,0.5926716950374252
300,0.08274940098307908,0.36407990682573943,0.47391724586486816,0.5212589743288945
400,0.08528689139720023,0.3256925591891038,0.6899361610412598,0.4803513253772816
500,0.0872996373586981,0.3001088066556423,0.9710657596588135,0.4516941718460724
600,0.08606822825175148,0.27293146877902225,1.3647122383117676,0.42033611339457794
700,0.08680716654071362,0.2956676952051858,1.8690528869628906,0.4467043367609882
800,0.08968879153319989,0.31324573583044374,2.4000024795532227,0.4661018935978681
900,0.09379714001450501,0.31673290613170557,3.170025587081909,0.469402029673833
1000,0.0909566392408917,0.27024979699193946,5.27331805229187,0.4166373426104128
