SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.13526471243909424,0.9449968264995793,0.06316447257995605,0.9030862591853697
200,0.18309310794242117,0.9640313965831253,0.09566473960876465,0.8843921174042739
300,0.18607194790413176,0.9744162581730542,0.6055347919464111,0.886970951165523
400,0.19944659380977042,0.9740351968859096,0.7810928821563721,0.8788146089347219
500,0.20859092674632762,0.9799189160942283,0.8194200992584229,0.8756331135888348
600,0.20609486027310145,0.9835922408214446,1.0295376777648926,0.8786273824412024
700,0.1927014285971075,0.9532245594840649,3.799534797668457,0.8742138192867047
800,0.20179327244212042,0.9580172204963238,6.925722360610962,0.870840864416757
900,0.1916160465404624,0.9424794143504718,6.880273103713989,0.8702966194099254
1000,0.19338978056104855,0.9558556885465082,7.7004499435424805,0.8749139069268508
