SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.12018772079959152,0.6764573633398236,0.17306971549987793,0.7648488132820767
200,0.14826944515515084,0.6310690191795791,0.5185186862945557,0.7249810092572397
300,0.15766355755486455,0.5061184908259065,1.1914246082305908,0.6323118978605174
400,0.1734295816842381,0.5671482139874535,2.3041818141937256,0.6727153180236136
500,0.18411424252611286,0.5413766368503633,3.5544934272766113,0.650871179047493
600,0.18731225940322274,0.5019824103622008,4.310343027114868,0.6206194772110722
700,0.1973643778094589,0.49544640085940594,6.677891731262207,0.6126930704756435
800,0.2052821913037191,0.476771868888063,7.534314870834351,0.5959924041390698
900,0.2186838069377917,0.4604112942093737,10.580267429351807,0.5793973368906109
1000,0.2113921816112054,0.4481226826838472,9.80985951423645,0.5714956505970181
