SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.05212800785200084,0.6110861370269052,0.18288612365722656,0.7431006942877708
200,0.06223025593127232,0.5449864012691515,0.3607776165008545,0.6893537546899191
300,0.0687228337899939,0.4288495624972371,0.7265493869781494,0.5872655788073862
400,0.07218790731373272,0.4608328893662655,1.522052526473999,0.6158036546239417
500,0.07379022145692125,0.4335405716479097,1.9417967796325684,0.59062241359092
600,0.07606125526153572,0.4174285666330045,3.6347439289093018,0.5750526684276228
700,0.07852835781356306,0.4312451962270472,4.047489404678345,0.587529049491853
800,0.0808002017154374,0.4305784248237824,4.551173448562622,0.5864483430948584
900,0.08285013517790678,0.4341955508848099,6.014265298843384,0.5893717271272843
1000,0.07992727190486791,0.4002822521549787,7.497345447540283,0.5578632856423672
