SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.06743712057299374,0.9344283741188708,0.07329487800598145,0.9334946947732736
200,0.06294642012418804,0.9571933250929238,0.11376070976257324,0.9470163890027419
300,0.06278595247516838,0.9676222546441041,0.37093544006347656,0.952175437561223
400,0.0629046430226494,0.9722742705061348,0.6647529602050781,0.954360739256831
500,0.06077238083050842,0.9742212646606239,0.6425268650054932,0.9564044555189989
600,0.060577159678676225,0.9790726059208829,1.0071699619293213,0.9588379999927061
700,0.06407242687792009,0.9848097706835311,3.5527188777923584,0.9597466531644958
800,0.043153866953730656,0.9378993206750535,4.783311128616333,0.9472779960095264
900,0.05986275666564682,0.9564638631883768,7.430119752883911,0.948230280573307
1000,0.05834414308761413,0.962909286232119,9.342137575149536,0.9521639859046854
