SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.035160989061322576,0.650527251440159,0.22412562370300293,0.7771043440561614
200,0.037984753194010665,0.6185161630480572,0.7228076457977295,0.7529391387458948
300,0.04233989451103904,0.5209975578646256,1.21415376663208,0.6748534006073303
400,0.04490212822758839,0.5533606477431058,1.9594342708587646,0.7007333249730858
500,0.045049175331246395,0.5308194673938414,2.9212334156036377,0.6823483964459583
600,0.045618472765543414,0.4948284087172747,3.6231515407562256,0.6517414498962114
700,0.04710819654674382,0.48331834716483774,5.887609004974365,0.6413408111253701
800,0.04873030244168929,0.45256942768257974,6.609734058380127,0.6133403391529945
900,0.05078333664715978,0.43944215403743536,10.284565210342407,0.6007606907734315
1000,0.049075838459174834,0.4325066821554021,9.879694700241089,0.5945812990414123
