SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.13135536005479895,0.9489615541805826,0.0675511360168457,0.9070285634116693
200,0.19080492755790854,0.9725425551493547,0.07781052589416504,0.8833810670889117
300,0.19039779426362033,0.9805944363614597,0.7552435398101807,0.886932083260685
400,0.20244114543504016,0.9819225600586828,0.5226969718933105,0.88019017881963
500,0.20694786217553504,0.9722696950264089,0.6200594902038574,0.8735637273996937
600,0.20970864174501228,0.9767317063721327,0.8307609558105469,0.8736757797130763
700,0.20307778465500034,0.973824671774907,3.6645238399505615,0.8765369239764471
800,0.2032136601645764,0.954572106830385,4.928594350814819,0.8685714983798585
900,0.22082313352083072,0.9821610273479996,5.486160755157471,0.8689725626740745
1000,0.19558797277718348,0.9300732187353264,6.590323448181152,0.8626906283486356
