SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.06928618849084456,0.9358990193539699,0.03372621536254883,0.9332992135148209
200,0.07831410001623366,0.9655080324656288,0.07473468780517578,0.9430881739744051
300,0.08244099770221154,0.970313677196614,0.5329766273498535,0.9431992519780128
400,0.08290387604691943,0.9747578018133491,0.42002296447753906,0.9450482298456431
500,0.08519348583210194,0.9697827987292208,0.5060832500457764,0.9414927862895056
600,0.08762059698096729,0.9712680481504564,0.7185788154602051,0.9409032049949544
700,0.06957091115638599,0.8944091170861627,2.8536508083343506,0.9120636088829496
800,0.08833132384775992,0.9688247872045035,3.9638755321502686,0.9393781242903974
900,0.09053966025979515,0.974727998650742,5.24379825592041,0.9409637441703137
1000,0.07924158632572326,0.919562409069007,6.376557111740112,0.920160022736411
