SetSize,InterSimilarity,IntraSimilarity,Runtime,F1Score
100,0.06353857167098201,0.9423267669200932,0.06895756721496582,0.939384942202759
200,0.08082218601528923,0.9606142329087728,0.09793853759765625,0.939439330160884
300,0.08270104072252767,0.9725430066050318,0.521676778793335,0.9441135332125906
400,0.08150052540708483,0.9716415415176152,0.8074967861175537,0.9443234528744722
500,0.08273002819214943,0.9775778062006432,0.5726449489593506,0.9464641720994487
600,0.0845259129283063,0.9814480153376756,0.7205548286437988,0.9473137823723703
700,0.05718288428312999,0.9241372499114487,3.7116951942443848,0.9333837318458517
800,0.08128887765543344,0.9566866901231413,4.26135516166687,0.9373144161436668
900,0.05735940904970148,0.9251420515944695,5.340686798095703,0.933809352719777
1000,0.0757742742228052,0.9372022085034089,6.813771963119507,0.9306687359764081
